feature;1943–1962;1963–1986;1987–2016;2017–2022
Word Order Inversion (VS);0.334575;0.398729;0.326062;0.338582
Nominalizations;5.061197;5.242159;4.890660;4.905493
Subordinate Clauses;5.929424;6.047194;5.327739;4.310120
Passive Constructions;0.695221;0.712706;0.623338;0.386089
Gerunds & Participles;4.769013;5.074170;5.163986;4.898775
Relative Pronouns & Conj.;2.105453;1.727721;1.445597;1.398506
Appositions & Parentheticals;2.182564;2.168256;2.513670;1.430804
Prepositional Phrases;17.213001;17.283812;17.947776;18.773282
Complex Verb Forms;0.903766;0.742211;0.761966;0.428303
Adjectives & Adverbs;7.216957;6.888065;6.324752;6.967322
Ornate / Archaic / Latin Terms;0.000000;0.000000;0.000000;0.000853
