feature;1943–1962;1963–1986;1987–2016;2017–2022
Word Order Inversion (VS);0.126685;0.154072;0.120937;0.105680
Nominalizations;1.873694;2.002346;1.992666;1.487452
Subordinate Clauses;2.218000;2.309435;2.105916;1.316975
Passive Constructions;0.262441;0.271423;0.239123;0.125713
Gerunds & Participles;1.805489;1.924850;1.964829;1.444320
Relative Pronouns & Conj.;0.772308;0.666960;0.575972;0.400593
Appositions & Parentheticals;0.843856;0.842118;1.035591;0.457913
Prepositional Phrases;6.504150;6.584329;7.164498;5.465591
Complex Verb Forms;0.335598;0.283027;0.278296;0.139230
Adjectives & Adverbs;2.748355;2.638791;2.472358;2.043339
Ornate / Archaic / Latin Terms;0.000000;0.000000;0.000000;0.000302
